Index,Threshold,Precision,Recall,F1_Score,Specificity
0,0,0.525547445,1,0.688995215,0.097222222
1,0.01,0.537313433,1,0.699029126,0.138888889
2,0.02,0.553846154,1,0.712871287,0.194444444
3,0.03,0.558139535,1,0.71641791,0.208333333
4,0.04,0.585365854,1,0.738461538,0.291666667
5,0.05,0.637168142,1,0.778378378,0.430555556
6,0.06,0.666666667,1,0.8,0.5
7,0.07,0.699029126,1,0.822857143,0.569444444
8,0.08,0.72,1,0.837209302,0.611111111
9,0.09,0.75,1,0.857142857,0.666666667
10,0.1,0.791208791,1,0.883435583,0.736111111
11,0.11,0.8,1,0.888888889,0.75
12,0.12,0.837209302,1,0.911392405,0.805555556
13,0.13,0.86746988,1,0.929032258,0.847222222
14,0.14,0.9,1,0.947368421,0.888888889
15,0.15,0.9,1,0.947368421,0.888888889
16,0.16,0.898734177,0.986111111,0.940397351,0.888888889
17,0.17,0.91025641,0.986111111,0.946666667,0.902777778
18,0.18,0.945205479,0.958333333,0.951724138,0.944444444
19,0.19,0.958333333,0.958333333,0.958333333,0.958333333
20,0.2,0.957746479,0.944444444,0.951048951,0.958333333
21,0.21,0.971014493,0.930555556,0.95035461,0.972222222
22,0.22,0.970149254,0.902777778,0.935251799,0.972222222
23,0.23,0.970149254,0.902777778,0.935251799,0.972222222
24,0.24,0.96875,0.861111111,0.911764706,0.972222222
25,0.25,0.983606557,0.833333333,0.902255639,0.986111111
26,0.26,0.982758621,0.791666667,0.876923077,0.986111111
27,0.27,0.981132075,0.722222222,0.832,0.986111111
28,0.28,0.979591837,0.666666667,0.79338843,0.986111111
29,0.29,1,0.625,0.769230769,1
30,0.3,1,0.583333333,0.736842105,1
31,0.31,1,0.513888889,0.678899083,1
32,0.32,1,0.5,0.666666667,1
33,0.33,1,0.472222222,0.641509434,1
34,0.34,1,0.444444444,0.615384615,1
35,0.35,1,0.402777778,0.574257426,1
36,0.36,1,0.388888889,0.56,1
37,0.37,1,0.375,0.545454545,1
38,0.38,1,0.375,0.545454545,1
39,0.39,1,0.333333333,0.5,1
40,0.4,1,0.277777778,0.434782609,1
41,0.41,1,0.236111111,0.382022472,1
42,0.42,1,0.222222222,0.363636364,1
43,0.43,1,0.180555556,0.305882353,1
44,0.44,1,0.166666667,0.285714286,1
45,0.45,1,0.152777778,0.265060241,1
46,0.46,1,0.152777778,0.265060241,1
47,0.47,1,0.125,0.222222222,1
48,0.48,1,0.069444444,0.12987013,1
49,0.49,1,0.055555556,0.105263158,1
50,0.5,1,0.027777778,0.054054054,1
51,0.51,1,0.027777778,0.054054054,1
52,0.52,1,0.013888889,0.02739726,1
53,0.53,1,0.013888889,0.02739726,1
54,0.54,1,0.013888889,0.02739726,1
55,0.55,1,0.013888889,0.02739726,1
56,0.56,0,0,0,1
57,0.57,0,0,0,1
58,0.58,0,0,0,1
59,0.59,0,0,0,1
60,0.6,0,0,0,1
61,0.61,0,0,0,1
62,0.62,0,0,0,1
63,0.63,0,0,0,1
64,0.64,0,0,0,1
65,0.65,0,0,0,1
66,0.66,0,0,0,1
67,0.67,0,0,0,1
68,0.68,0,0,0,1
69,0.69,0,0,0,1
70,0.7,0,0,0,1
71,0.71,0,0,0,1
72,0.72,0,0,0,1
73,0.73,0,0,0,1
74,0.74,0,0,0,1
75,0.75,0,0,0,1
76,0.76,0,0,0,1
77,0.77,0,0,0,1
78,0.78,0,0,0,1
79,0.79,0,0,0,1
80,0.8,0,0,0,1
81,0.81,0,0,0,1
82,0.82,0,0,0,1
83,0.83,0,0,0,1
84,0.84,0,0,0,1
85,0.85,0,0,0,1
86,0.86,0,0,0,1
87,0.87,0,0,0,1
88,0.88,0,0,0,1
89,0.89,0,0,0,1
90,0.9,0,0,0,1
91,0.91,0,0,0,1
92,0.92,0,0,0,1
93,0.93,0,0,0,1
94,0.94,0,0,0,1
95,0.95,0,0,0,1
96,0.96,0,0,0,1
97,0.97,0,0,0,1
98,0.98,0,0,0,1
99,0.99,0,0,0,1
