,model_id,engine_id,engine_name,n_epochs,batch_size,lr_multiplier,temp,pres_pen,freq_pen,fact_f1,inf_fluency,inf_relevancy,abs_fluency,abs_relevancy,all_f1,all_fluency,all_relevancy,all_macro
0,0,0,curie:ft-brainmonkey-foundation-2021-10-26-08-56-48,5,5,0.1,0.1,0,2,0.37333333,0.57678884,0.49070147,0.51731473,0.42139938,0.37333333,0.5470517873764038,0.45605042576789856,0.45881184935569763
1,1,0,curie:ft-brainmonkey-foundation-2021-10-26-08-56-48,5,5,0.1,0.1,1,1.5,0.25333333,0.5479882,0.46403793,0.544222,0.36526418,0.25333333,0.5461050868034363,0.4146510362625122,0.4046964844067891
2,2,0,curie:ft-brainmonkey-foundation-2021-10-26-08-56-48,5,5,0.1,0.4,-1,1.5,0.30666667,0.5579726,0.45225692,0.5402682,0.36969614,0.30666667,0.5491204261779785,0.4109765291213989,0.4222545425097148
3,3,0,curie:ft-brainmonkey-foundation-2021-10-26-08-56-48,5,5,0.1,0.4,-1.5,2,0.18666667,0.56025696,0.49060678,0.5101913,0.4283184,0.18666667,0.5352241396903992,0.45946258306503296,0.39378446340560913
4,4,1,curie:ft-brainmonkey-foundation-2021-11-15-01-40-16,5,142,0.1,0.1,0,2,0.13333334,0.65890646,0.4053206,0.67593586,0.22148484,0.13333334,0.6674211621284485,0.3134027123451233,0.37138573825359344
5,5,1,curie:ft-brainmonkey-foundation-2021-11-15-01-40-16,5,142,0.1,0.1,1,1.5,0.06666667,0.6034805,0.36568347,0.6120987,0.32048306,0.06666667,0.6077896356582642,0.3430832624435425,0.3391798560818036
6,6,1,curie:ft-brainmonkey-foundation-2021-11-15-01-40-16,5,142,0.1,0.4,-1,1.5,0.06666667,0.6364062,0.2994644,0.6596151,0.27027652,0.06666667,0.6480106115341187,0.284870445728302,0.33318257580200833
7,7,1,curie:ft-brainmonkey-foundation-2021-11-15-01-40-16,5,142,0.1,0.4,-1.5,2,0.13333334,0.6644251,0.38369125,0.6508552,0.19304773,0.13333334,0.6576400995254517,0.28836947679519653,0.3597809722026189
8,8,2,curie:ft-brainmonkey-foundation-2021-11-15-02-27-00,5,142,0.2,0.1,0,2,0.13333334,0.69656134,0.2755124,0.63955164,0.26109183,0.13333334,0.6680564880371094,0.2683021128177643,0.3565639803806941
9,9,2,curie:ft-brainmonkey-foundation-2021-11-15-02-27-00,5,142,0.2,0.1,1,1.5,0.13333334,0.64902514,0.2929053,0.650725,0.26225665,0.13333334,0.6498750448226929,0.27758097648620605,0.35359645386536914
10,10,2,curie:ft-brainmonkey-foundation-2021-11-15-02-27-00,5,142,0.2,0.4,-1,1.5,0.06666667,0.64252377,0.26790088,0.4837852,0.32624406,0.06666667,0.5631544589996338,0.29707247018814087,0.3089645331104596
11,11,2,curie:ft-brainmonkey-foundation-2021-11-15-02-27-00,5,142,0.2,0.4,-1.5,2,0.2822222,0.6999597,0.26070458,0.6438287,0.20829313,0.2822222,0.6718941926956177,0.23449885845184326,0.3962050875027974
12,12,3,curie:ft-brainmonkey-foundation-2021-11-15-02-40-17,5,14,0.05,0.1,0,2,0.13333334,0.5730174,0.4442236,0.6670549,0.38687587,0.13333334,0.6200361251831055,0.41554975509643555,0.3896397401889165
13,13,3,curie:ft-brainmonkey-foundation-2021-11-15-02-40-17,5,14,0.05,0.1,1,1.5,0.26444444,0.649071,0.38878036,0.7422704,0.27686656,0.26444444,0.6956707239151001,0.3328234553337097,0.43097953995068866
14,14,3,curie:ft-brainmonkey-foundation-2021-11-15-02-40-17,5,14,0.05,0.4,-1,1.5,0.06666667,0.59397984,0.3546415,0.6356468,0.37776756,0.06666667,0.6148133277893066,0.36620453000068665,0.3492281759778659
15,15,3,curie:ft-brainmonkey-foundation-2021-11-15-02-40-17,5,14,0.05,0.4,-1.5,2,0.0,0.6092408,0.42811602,0.68454576,0.38037682,0.0,0.6468932628631592,0.40424641966819763,0.35037989417711896
16,16,4,curie:ft-brainmonkey-foundation-2021-11-15-02-58-21,5,14,0.05,0.1,0,2,0.13333334,0.68633753,0.372122,0.6761018,0.29405698,0.13333334,0.6812196969985962,0.3330894708633423,0.3825475027163823
17,17,4,curie:ft-brainmonkey-foundation-2021-11-15-02-58-21,5,14,0.05,0.1,1,1.5,0.13333334,0.66459423,0.3971721,0.6831631,0.38440493,0.13333334,0.6738786697387695,0.3907884955406189,0.39933350185553235
18,18,4,curie:ft-brainmonkey-foundation-2021-11-15-02-58-21,5,14,0.05,0.4,-1,1.5,0.06666667,0.619793,0.42889473,0.5647153,0.3786733,0.06666667,0.5922541618347168,0.40378400683403015,0.3542349462707837
19,19,4,curie:ft-brainmonkey-foundation-2021-11-15-02-58-21,5,14,0.05,0.4,-1.5,2,0.13333334,0.6155544,0.422227,0.6513782,0.27062008,0.13333334,0.6334663033485413,0.34642353653907776,0.3710743933916092
20,20,5,curie:ft-brainmonkey-foundation-2021-11-15-03-26-33,5,5,0.05,0.1,0,2,0.13333334,0.6344702,0.33155358,0.5528717,0.40569985,0.13333334,0.5936709642410278,0.3686267137527466,0.3652103394269943
21,21,5,curie:ft-brainmonkey-foundation-2021-11-15-03-26-33,5,5,0.05,0.1,1,1.5,0.2,0.63745177,0.38221225,0.594627,0.3014543,0.2,0.6160393953323364,0.34183329343795776,0.38595756391684216
22,22,5,curie:ft-brainmonkey-foundation-2021-11-15-03-26-33,5,5,0.05,0.4,-1,1.5,0.28444445,0.586455,0.4485297,0.6111178,0.34344524,0.28444445,0.5987863540649414,0.39598745107650757,0.4264060854911804
23,23,5,curie:ft-brainmonkey-foundation-2021-11-15-03-26-33,5,5,0.05,0.4,-1.5,2,0.13333334,0.57439893,0.42088735,0.6311524,0.2876313,0.13333334,0.6027756929397583,0.35425931215286255,0.3634561151266098
