index,model_id,engine_id,engine_name,n_epochs,batch_size,lr_multiplier,temp,pres_pen,freq_pen,fact_f1,inf_fluency,inf_relevancy,abs_fluency,abs_relevancy,all_f1,all_fluency,all_relevancy,all_macro
0,0,0,curie:ft-brainmonkey-foundation-2021-10-26-08-56-48,5,5,0.1,0.1,0,2,0.37333333,0.57678884,0.49070147,0.51731473,0.42139938,0.37333333,0.547051787,0.456050426,0.458811849
1,1,0,curie:ft-brainmonkey-foundation-2021-10-26-08-56-48,5,5,0.1,0.1,1,1.5,0.25333333,0.5479882,0.46403793,0.544222,0.36526418,0.25333333,0.546105087,0.414651036,0.404696484
2,2,0,curie:ft-brainmonkey-foundation-2021-10-26-08-56-48,5,5,0.1,0.4,-1,1.5,0.30666667,0.5579726,0.45225692,0.5402682,0.36969614,0.30666667,0.549120426,0.410976529,0.422254543
3,3,0,curie:ft-brainmonkey-foundation-2021-10-26-08-56-48,5,5,0.1,0.4,-1.5,2,0.18666667,0.56025696,0.49060678,0.5101913,0.4283184,0.18666667,0.53522414,0.459462583,0.393784463
4,4,1,curie:ft-brainmonkey-foundation-2021-11-15-01-40-16,5,142,0.1,0.1,0,2,0.13333334,0.65890646,0.4053206,0.67593586,0.22148484,0.13333334,0.667421162,0.313402712,0.371385738
5,5,1,curie:ft-brainmonkey-foundation-2021-11-15-01-40-16,5,142,0.1,0.1,1,1.5,0.06666667,0.6034805,0.36568347,0.6120987,0.32048306,0.06666667,0.607789636,0.343083262,0.339179856
6,6,1,curie:ft-brainmonkey-foundation-2021-11-15-01-40-16,5,142,0.1,0.4,-1,1.5,0.06666667,0.6364062,0.2994644,0.6596151,0.27027652,0.06666667,0.648010612,0.284870446,0.333182576
7,7,1,curie:ft-brainmonkey-foundation-2021-11-15-01-40-16,5,142,0.1,0.4,-1.5,2,0.13333334,0.6644251,0.38369125,0.6508552,0.19304773,0.13333334,0.6576401,0.288369477,0.359780972
8,8,2,curie:ft-brainmonkey-foundation-2021-11-15-02-27-00,5,142,0.2,0.1,0,2,0.13333334,0.69656134,0.2755124,0.63955164,0.26109183,0.13333334,0.668056488,0.268302113,0.35656398
9,9,2,curie:ft-brainmonkey-foundation-2021-11-15-02-27-00,5,142,0.2,0.1,1,1.5,0.13333334,0.64902514,0.2929053,0.650725,0.26225665,0.13333334,0.649875045,0.277580977,0.353596454
10,10,2,curie:ft-brainmonkey-foundation-2021-11-15-02-27-00,5,142,0.2,0.4,-1,1.5,0.06666667,0.64252377,0.26790088,0.4837852,0.32624406,0.06666667,0.563154459,0.29707247,0.308964533
11,11,2,curie:ft-brainmonkey-foundation-2021-11-15-02-27-00,5,142,0.2,0.4,-1.5,2,0.2822222,0.6999597,0.26070458,0.6438287,0.20829313,0.2822222,0.671894193,0.234498859,0.396205088
12,12,3,curie:ft-brainmonkey-foundation-2021-11-15-02-40-17,5,14,0.05,0.1,0,2,0.13333334,0.5730174,0.4442236,0.6670549,0.38687587,0.13333334,0.620036125,0.415549755,0.38963974
13,13,3,curie:ft-brainmonkey-foundation-2021-11-15-02-40-17,5,14,0.05,0.1,1,1.5,0.26444444,0.649071,0.38878036,0.7422704,0.27686656,0.26444444,0.695670724,0.332823455,0.43097954
14,14,3,curie:ft-brainmonkey-foundation-2021-11-15-02-40-17,5,14,0.05,0.4,-1,1.5,0.06666667,0.59397984,0.3546415,0.6356468,0.37776756,0.06666667,0.614813328,0.36620453,0.349228176
15,15,3,curie:ft-brainmonkey-foundation-2021-11-15-02-40-17,5,14,0.05,0.4,-1.5,2,0,0.6092408,0.42811602,0.68454576,0.38037682,0,0.646893263,0.40424642,0.350379894
16,16,4,curie:ft-brainmonkey-foundation-2021-11-15-02-58-21,5,14,0.05,0.1,0,2,0.13333334,0.68633753,0.372122,0.6761018,0.29405698,0.13333334,0.681219697,0.333089471,0.382547503
17,17,4,curie:ft-brainmonkey-foundation-2021-11-15-02-58-21,5,14,0.05,0.1,1,1.5,0.13333334,0.66459423,0.3971721,0.6831631,0.38440493,0.13333334,0.67387867,0.390788496,0.399333502
18,18,4,curie:ft-brainmonkey-foundation-2021-11-15-02-58-21,5,14,0.05,0.4,-1,1.5,0.06666667,0.619793,0.42889473,0.5647153,0.3786733,0.06666667,0.592254162,0.403784007,0.354234946
19,19,4,curie:ft-brainmonkey-foundation-2021-11-15-02-58-21,5,14,0.05,0.4,-1.5,2,0.13333334,0.6155544,0.422227,0.6513782,0.27062008,0.13333334,0.633466303,0.346423537,0.371074393
20,20,5,curie:ft-brainmonkey-foundation-2021-11-15-03-26-33,5,5,0.05,0.1,0,2,0.13333334,0.6344702,0.33155358,0.5528717,0.40569985,0.13333334,0.593670964,0.368626714,0.365210339
21,21,5,curie:ft-brainmonkey-foundation-2021-11-15-03-26-33,5,5,0.05,0.1,1,1.5,0.2,0.63745177,0.38221225,0.594627,0.3014543,0.2,0.616039395,0.341833293,0.385957564
22,22,5,curie:ft-brainmonkey-foundation-2021-11-15-03-26-33,5,5,0.05,0.4,-1,1.5,0.28444445,0.586455,0.4485297,0.6111178,0.34344524,0.28444445,0.598786354,0.395987451,0.426406086
23,23,5,curie:ft-brainmonkey-foundation-2021-11-15-03-26-33,5,5,0.05,0.4,-1.5,2,0.13333334,0.57439893,0.42088735,0.6311524,0.2876313,0.13333334,0.602775693,0.354259312,0.363456115
24,24,6,curie:ft-brainmonkey-foundation-2021-11-15-03-41-34,5,50,0.15,0.1,0,2,0.30444443,0.62758213,0.39146012,0.63897115,0.24144885,0.30444443,0.633276641,0.31645447,0.418058515
